what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349709823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349724689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349728596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349728965
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473349731301
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473349738941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473349739117
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473349751575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349813289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349846024
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473349846097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473349846345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1473349858164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1473349866327
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1473349873120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349875868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349895163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349927045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349984627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349985988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349987478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349988476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473349989569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473349991295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473349999985
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473350002304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473350007431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473350018895
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473350019820
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473350019981
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473350020927
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473350021076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473350024290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473350029205
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1473350034300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473350036978
