what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1473695397742
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1473695397744
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1473695397746
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1473695397747
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1473695397747
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1473695397749
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1473695397753
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1473695397755
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1473695397757
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1473695397761
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1473695397764
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1473695397766
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1473695397767
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1473695397769
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1473695397773
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1473695397776
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1473695397781
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1473695397784
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1473695397784
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1473695397786
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1473695397793
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1473695397796
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1473695397798
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1473695397801
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1473695397804
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1473695397806
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1473695397809
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1473695397811
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1473695397811
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1473695397813
os,sysinfo,,,"win32",1473695397826
arch,sysinfo,,,"x86_64",1473695397826
ws,sysinfo,,,"win32",1473695397826
locale,sysinfo,,,"en_US",1473695397826
processors,sysinfo,,,"4",1473695397826
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473695397826
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1473695397826
java.specification.name,sysinfo,,,"Java Platform API Specification",1473695397826
java.specification.vendor,sysinfo,,,"Oracle Corporation",1473695397826
java.specification.version,sysinfo,,,"1.7",1473695397826
java.vendor,sysinfo,,,"Oracle Corporation",1473695397826
java.version,sysinfo,,,"1.7.0_79",1473695397826
java.vm.info,sysinfo,,,"mixed mode",1473695397826
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1473695397826
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473695397826
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1473695397826
java.vm.specification.version,sysinfo,,,"1.7",1473695397826
java.vm.vendor,sysinfo,,,"Oracle Corporation",1473695397826
java.vm.version,sysinfo,,,"24.79-b02",1473695397826
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1473695398935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695400097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695403557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695407290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695408209
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1473695440498
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1473695440511
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1473695440521
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473695440885
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1473695441015
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1473695465687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695469451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1473695499296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695501716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695517498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473695518500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695527367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695530224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473695531974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695536533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695539142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473695539986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695545835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695549579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473695551300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695556243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695560514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473695561731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695566741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695573317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1473695574634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695589615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473695599486
